reponse.csv,,
ID,Phrase,Audio
488,"Si vous deviez un jour vous transformer vous-même, faites-le un peu chaque jour.",0488.wav
489,"Tous les gens ne peuvent pas être grands, tous peuvent être bons.",0489.wav
490,Il y a des personnes qui pleurent en apprenant que les roses ont des épines. D’autres se réjouissent quand ils savent que les épines portent des roses.,0490.wav
491,Qui veut apprendre à bien mourir doit apprendre auparavant à bien vivre.,0491.wav
492,Il n’y a de communautaire que l’illusion d’être ensemble.,0492.wav
493,On ne peut bien gouverner sa famille qu’en donnant l’exemple.,0493.wav
494,Ne laisse pas les mauvaises pensées paralyser ton esprit.,0494.wav
495,"Écoute le vent, il parle ; écoute le silence, il murmure ; écoute ton cœur, il sait.",0495.wav
496,Aide le bateau de l’autre à traverser le fleuve et le tien aussi arrivera sur l’autre rive.,0496.wav
497,"L’humanité n’a pas tissé la toile de la vie, elle n’est qu’un fil de cette toile. Quoi qu’elle fasse à la toile, elle le fait à elle-même.",0497.wav
498,"Concentre-toi sur ton cœur, imagine-le rayonnant, battant au rythme de l’univers et il s’ouvrira comme la fleur du matin libérant tous les parfums de l’âme.",0498.wav
499,"Joie et chagrin, plaisir et tristesse nous habitent alternativement, tout comme le jour et la nuit, la vie et la mort. Si tu souhaites progresser spirituellement, considère-les comme les deux rives d’un fleuve qui coule dans le même sens.",0499.wav
500,"Quand vous vous levez le matin, remerciez pour la lumière matinale. Remerciez pour votre vie et votre force. Remerciez pour la nourriture et pour la joie de vivre. Et si vous ne voyez aucune raison de remercier, soyez assuré que la faute vient de vous.",0500.wav
501,"Puissent les désirs de ton cœur être purs, ne cherchant pas à obtenir mais à t’initier, t’élevant, tel l’aigle, au-dessus des épreuves et tribulation, amenant la paix à tous ceux qui croisent ta voie, n’autorisant jamais les nuages noirs à régner, laissant les terres demeurer libres et sauvages, intouchées. Puisse l’esprit de la vie renforcer ta tolérance, ta sagesse et ton humilité.",0501.wav
502,Puisse le soleil t‘apporter chaque jour une nouvelle énergie. Puisse la lune chaque nuit te ressourcer pleinement. Puisse la pluie te laver de tous tes soucis. Puisse le vent t‘insuffler de nouvelles forces. Puisses-tu marcher paisiblement à travers le monde et apprécier tous les jours la beauté de la vie.,0502.wav
503,"À votre naissance, vous avez pleuré et le monde s’est réjoui. Vivez votre vie de façon que lorsque vous mourrez, le monde pleure et vous vous réjouissiez.",0503.wav
504,N’ayez pas peur de pleurer. Cela libérera votre esprit des pensées tristes.,0504.wav
505,Ceux qui ont un pied dans le bateau et l’autre sur la rive tomberont dans la rivière.,0505.wav
506,La grenouille ne boit pas l’eau de l’étang dans lequel elle vit.,0506.wav
507,"Ne jamais se plaindre, ne jamais s'expliquer.",0507.wav
508,Un demi-pain vaut mieux que rien.,0508.wav
509,Un oiseau dans la main vaut mieux que deux dans le buisson.,0509.wav
510,Un mauvais ouvrier accuse ses outils.,0510.wav
511,La souffrance les indigne mais seule la souffrance donne aux gens la pleine mesure de leur dignité.,0511.wav
512,La lumière a éclairé peu à peu les rues et épuisé les mythes.,0512.wav
513,"Il faut reconnaitre ça à la communication moderne : elle n’enferme pas seulement les gens chez eux. N’oublions pas qu’il n’y a pas si longtemps, elle a offert à des gens enfermés la possibilité de mettre un œil ou une oreille dehors.",0513.wav
514,C’est souvent une somme de détails apparemment anodins qui forme les contours de nos oppressions.,0514.wav
515,"Nous ne savons pas être. À la limite, nous réussissons à paraître, en copiant les autres, en écoutant les conseils de la télé et des magazines mais c’est une réalité trop éphémère. Et quand soudain nous sommes confrontés à cette simple question : qui je suis ? on panique. C’est une angoisse profonde, existentielle, que l’humain essaie d’exorciser avec la philosophie.",0515.wav
516,"On dit que le bonheur ne s’apprend qu’avec la liberté mais n’est-ce pas seulement la conscience du bonheur ? Être libre n’est pas être heureux, c’est juste avoir la conscience que l’on peut œuvrer pour le devenir. Mais qui nous apprend à le faire ?",0516.wav
517,La beauté n’est pas dans les choses mais dans le regard de celui qui observe.,0517.wav
518,"Écrire liberté sur le bord d’une plage, c’est déjà avoir la liberté de l’écrire. Même si la mer efface ce mot : la liberté demeure.",0518.wav
519,En général les gens ont tendance à associer leur valeur personnelle au degré d’intégration sociale dont ils se sentent dotés.,0519.wav
520,"Quand tu auras désappris à espérer, je t’apprendrai à vouloir.",0520.wav
521,La lutte elle-même vers les sommets suffit à remplir un cœur humain.,0521.wav
522,Créer le monde que nous voulons est bien plus puissant que de détruire celui dont nous ne voulons plus.,0522.wav
523,Le progrès technique est comme une hache qu’on aurait mise dans les mains d’un psychopathe.,0523.wav
524,On ne peut pas faire naître un enfant dans un pareil monde.,0524.wav
525,Il n’est pas de fin à la folie de l’humanité.,0525.wav
526,"La vie est un rêve, c'est le réveil qui nous tue.",0526.wav
527,"Par instants, je ne me connais plus moi-même, je ne sais plus comment nommer, mesurer et totaliser les atomes qui me composent.",0527.wav
528,Les gens se contentent de tuer le temps en attendant que le temps les tue.,0528.wav
529,"Il n’est jamais trop tard. Jamais trop tard pour changer sa vie, jamais trop tard pour être heureux.",0529.wav
530,Il n’y a pas de regrets dans une vie. Seulement des leçons.,0530.wav
531,"Pour moi, l’épuisement est lié à la rancune. Et on le dépasse en comprenant d’où vient cette rancune.",0531.wav
532,"La vie est très étrange… Au final, les pires douleurs deviennent parfois les plus grandes forces.",0532.wav
533,"Il y a deux types de personnes : celles qui font le travail et celles qui s’en attribuent le mérite. Il vaut mieux faire partie du premier groupe, parce qu’il y a beaucoup moins de concurrence.",0533.wav
534,"Le rire plus que tout nous aide à voir les choses à leurs justes proportions ; il n'a de cesse de nous rappeler que nous sommes de simples humains, que personne n'est jamais un parfait héros ni un fieffé coquin. Dès que nous oublions de rire, nous perdons le sens des proportions et, avec lui, le sens de la réalité.",0534.wav
535,La beauté doit naître et mourir chaque jour pour demeurer digne d'être aimée.,0535.wav
536,"Même dans l’adversité, même devant des montagnes difficiles à traverser, même devant des dossiers dont l’issue est incertaine, quelque chose en nous doit nous dire que nous ne lâcherons pas.",0536.wav
537,La vieillesse est si longue qu'il ne faut pas la commencer trop tôt.,0537.wav
538,J'ai appris que la voie du progrès n'était ni rapide ni facile.,0538.wav
539,Je peins des fleurs pour qu’elles ne meurent pas.,0539.wav
540,"La seule chose sur laquelle on peut compter, c’est le changement.",0540.wav
541,Le destin c’est le chemin après l’avoir parcouru.,0541.wav
542,La Terre Mère a été créée sur le dos d'une tortue.,0542.wav
543,Le Loup comprend le maillon essentiel qu'il joue dans l'ensemble de la chaîne.,0543.wav
544,"Le Loup possède cet instinct de protection de tout son clan. Et tout comme lui, nous travaillons dans le groupe, pour le groupe.",0544.wav
545,"Tant sur le plan personnel que collectif, les humains sont enclins aux activités autodestructrices.",0545.wav
546,"J’achète un téléphone portable en France et ce faisant j’ai exploité des mineurs du Congo, détruit des forêts primaires de Papouasie, enrichi des oligarques russes, pollué des nappes phréatiques chinoises, puis, douze à dix-huit mois plus tard, j’irai déverser mes déchets électroniques au Ghana ou ailleurs.",0546.wav
547,"Une partie des innovations ne sert qu’à gérer, ou tenter de gérer, la complexité ou les effets négatifs induits par les innovations précédentes.",0547.wav
548,Dans la résistance gît le plaisir.,0548.wav
549,L’or véritable ne craint pas le feu.,0549.wav
550,"Le temps d’une vie est le même, qu’on le passe en pleurant ou en riant.",0550.wav
551,La fleur d’hier est le rêve d’aujourd’hui.,0551.wav
552,"Mauvaise cause, mauvais résultat.",0552.wav
553,L’eau prend toujours la forme du vase.,0553.wav
554,"Sur un cerisier mort, on ne trouve pas de fleurs.",0554.wav
555,La pluie tombe toujours plus fort sur un toit percé.,0555.wav
556,"N'accuse pas le puits d'être trop profond, c'est ta corde qui est trop courte.",0556.wav
557,C'est en essayant encore et encore que le singe apprend à bondir.,0557.wav
558,"Si toi-même tu n'as pas traversé, ne te moque pas de celui qui s'est noyé.",0558.wav
559,"Le feu qui te brûlera, c'est celui auquel tu te chauffes.",0559.wav
560,"Ne regardez pas en arrière avec colère, ni en avant avec peur, mais autour de vous avec conscience.",0560.wav
561,"Dans la maison de la fourmi, la rosée est une tempête.",0561.wav
562,"Si tu ne peux pas être une étoile au ciel, sois une lampe dans ta maison.",0562.wav
563,"Si tu ouvres une fenêtre à droite et une autre à gauche, ne sois pas surpris d'être pris dans le courant d'air.",0563.wav
564,L'arbre suit sa racine.,0564.wav
565,On ne trébuche pas sur une montagne mais sur une pierre.,0565.wav
566,"Si tu vois tout en gris, déplace l’éléphant.",0566.wav
567,"Pourquoi s'en prendre à la flèche, quand le tireur est présent ?",0567.wav
568,La force de l'eau vient de la source.,0568.wav
569,Toi qui te lamentes sur ton sort éveille-toi ! Ne sois pas comme ce brin de paille qui croit que c'est contre lui que la mer s'agite !,0569.wav
570,La buse qui plane ne se doute pas que ceux qui sont en bas devinent ses intentions.,0570.wav
571,"Le serpent oublie qu'il a mordu la poule, mais la poule n'oublie jamais !",0571.wav
572,"L'oiseau vole dans le ciel, mais n'oublie pas qu'un jour ses os tomberont par terre !",0572.wav
573,"La mouche a beau voler, elle ne deviendra jamais un oiseau…",0573.wav
574,"Même si le gnou mange l'herbe, elle continue de pousser.",0574.wav
575,"Si tu dis à la souris de ne pas sortir de son trou, dis aussi à la pâte d'arachide de ne pas sentir.",0575.wav
576,"Si en te baignant, tu as échappé au crocodile, prends garde au léopard sur la berge.",0576.wav
577,"Aussi longtemps que les lions n'auront pas leur historien, les récits de chasse tourneront toujours à la gloire du chasseur.",0577.wav
578,Seul un sot mesure la profondeur de l'eau avec ses deux pieds.,0578.wav
579,"Celui qui demande qu'on lui répète, n'est pas forcément sourd.",0579.wav
580,"Si tu trébuches des pieds, tu peux avancer, mais si tu trébuches de la pensée, tu ne peux avancer.",0580.wav
581,"Si tu sais que ce que tu portes sur la tête peut tomber, tu le soutiens de la main.",0581.wav
582,"On a beau dissimuler ses excréments au fond de l’eau, ils remontent toujours à la surface.",0582.wav
583,Le mensonge donne des fleurs mais pas de fruits.,0583.wav
584,Se défaire de l'unique objet que l'on possède est un signe de courage.,0584.wav
585,Celui qui ne tente rien ne se trompe qu’une fois.,0585.wav
586,"Élève les êtres, nourris-les sans chercher à les asservir.",0586.wav
587,"Tu connais l’utilité, mais connais-tu l’utilité de l’inutile ?",0587.wav
588,L’expérience est une lumière qui n’éclaire que soi-même.,0588.wav
589,"Aucun de nous ne sait ce que nous savons tous, ensemble.",0589.wav
590,"Quand la crainte ne veille pas, il arrive ce qui était à craindre.",0590.wav
591,On doit prendre la simplicité comme principe directeur de vie.,0591.wav
592,La vertu suprême ignore la vertu. C´est pourquoi elle est vertu.,0592.wav
593,"Le but n’est pas seulement le but, mais le chemin qui y conduit.",0593.wav
594,Vivre n’est jamais jouer un rôle. Vivre c’est laisser parler son être.,0594.wav
595,Un voyage de mille lieues commence toujours par un premier pas.,0595.wav
596,Celui qui se grandit et se met sur les pointes ne tient pas l’équilibre.,0596.wav
597,Les choses les plus grandes au monde ont commencé par être petites.,0597.wav
598,Souvent le vrai résonne comme le faux et le faux résonne comme le vrai.,0598.wav
599,"Le sage sans jamais faire de grandes actions, accomplit de grandes choses.",0599.wav
600,"Celui qui se vante de ses gloires, en perd tout le mérite. Celui qui se célèbre ne sera pas reconnu.",0600.wav
601,"Le sage est méthodique mais pas tranchant, intègre mais pas blessant, droit mais pas absolu, lumineux mais pas éblouissant.",0601.wav
602,"Un grand État s’agenouille devant un petit pays. Passif, il le vainc. Un petit pays s’agenouille devant un grand pays. Passif, il est vaincu.",0602.wav
603,Le succès est aussi dangereux que l’échec.,0603.wav
604,Être conscient de la difficulté permet de l’éviter.,0604.wav
605,"Ne pas savoir et croire qu’on sait, c’est la maladie de l’humanité.",0605.wav
606,L’inquiétude ronge l’esprit et dévie le jugement alors qu’on se rend finalement compte qu’on s’était inquiété pour rien.,0606.wav
607,"Vous verrez que votre vie sera beaucoup plus facile, une fois que vous cesserez d’essayer de paraître aussi intelligent.",0607.wav
608,"À la naissance, tes enfants sont riches de possibilités. Ce n‘est pas ton rôle de les limiter. Ne dis pas : « Pour toi, ceci ou cela est possible mais ces autres choses ne le sont pas. » Ils découvriront par eux-mêmes ce qui est possible ou non pour eux. Ton rôle est de les aider à rester ouverts aux merveilleux mystères de la vie.",0608.wav
609,Rien n'est plus dangereux qu'une idée quand on en a qu'une.,0609.wav
610,"Développe en toi l'indépendance à tout moment, avec bienveillance, simplicité et modestie.",0610.wav
611,Une des clés du succès est la confiance en soi. Une des clés de la confiance en soi est la préparation.,0611.wav
612,"Un esprit, c'est comme un parachute, il ne fonctionne que lorsqu'il est ouvert.",0612.wav
613,"Qui parle sème, qui écoute récolte.",0613.wav
614,"Progresser, c'est se tromper. Je me suis souvent trompé.",0614.wav
615,On fait parce qu’on ne sait pas que c'est impossible.,0615.wav
616,"La lumière est bonne, quelle que soit la lampe dont elle provient.",0616.wav
617,"Les maîtres ouvrent la porte, mais tu dois entrer par toi-même.",0617.wav
618,Un imbécile qui marche va plus loin qu'un intellectuel assis.,0618.wav
619,Voici que s’avance l’immobilisme et nous ne savons pas comment l’arrêter.,0619.wav
620,Science sans conscience n'est que ruine de l'âme.,0620.wav
621,Ouvrir son esprit c'est s'ouvrir à la vie.,0621.wav
622,Ce qui est affirmé sans preuve peut être nié sans preuve.,0622.wav
623,Les vérités qu'on aime le moins à apprendre sont celles que l'on a le plus intérêt à savoir.,0623.wav
624,Le mieux est l’ennemi du bien.,0624.wav
625,"Il n’y a au monde que deux manières de s’élever, ou par sa propre industrie, ou par l’imbécillité des autres.",0625.wav
626,On reconnait une grande découverte au fait qu’elle accroit bien moins notre connaissance que notre ignorance.,0626.wav
627,"Ne pas savoir est mauvais, ne pas demander est encore pire.",0627.wav
628,"Nie mais, si tu vois, crois.",0628.wav
629,"Avant de cuisiner, il faut avoir des provisions.",0629.wav
630,"Ce que je sais, c’est que je ne sais rien.",0630.wav
631,L’humain n'est pas un empire dans un empire.,0631.wav
632,La connaissance de quelqu’un ne peut pas s'étendre au-delà de son expérience propre.,0632.wav
633,"Si tu n'es pas Socrate, tu dois vivre comme si tu voulais être Socrate.",0633.wav
634,L’être humain est condamné à être libre.,0634.wav
635,"L’être humain n'est qu'un roseau, le plus faible des roseaux, mais c'est un roseau pensant.",0635.wav
636,Pourquoi y a-t-il quelque chose plutôt que rien ?,0636.wav
637,La liberté est le droit de faire tout ce que les lois permettent.,0637.wav
638,L’effort qu’on fait pour être heureux n’est jamais perdu.,0638.wav
639,"Celui qui cherche la sagesse est un sage, celui qui croit l'avoir trouvée est un fou.",0639.wav
640,"Le critère de la scientificité d’une théorie réside dans la possibilité de l’invalider, de la réfuter ou encore de la tester.",0640.wav
641,L’expérience n’est qu’une observation invoquée dans un but de contrôle.,0641.wav
642,Il est impossible de démontrer à l’infini…,0642.wav
643,La nature n’a aucune fin à elle prescrite et toutes les causes finales ne sont rien que des fictions humaines.,0643.wav
644,Je crois la pensée si peu incompatible avec la matière organisée qu’elle semble en être une propriété…,0644.wav
645,"La vérité est fille de discussion, non pas fille de sympathie.",0645.wav
646,Les problèmes du monde ne peuvent être résolus par des sceptiques ou des cyniques dont les horizons se limitent aux réalités évidentes. Nous avons besoin de gens capables d'imaginer ce qui n'a jamais existé.,0646.wav
647,Le progrès se mesure par la vitesse à laquelle nous détruisons les conditions indispensables à la vie.,0647.wav
648,"Il n'existe pas de crise énergétique, de famine ou de crise environnementale. Il existe seulement une crise de l'ignorance.",0648.wav
649,"Le peu qu'on peut faire, le très peu qu'on peut faire, il faut le faire.",0649.wav
650,"Avoir tort est faussement associé à l'échec. En réalité, le fait d'apercevoir son erreur devrait être célébré car cela permet un nouveau niveau de compréhension favorisant une prise de conscience.",0650.wav
651,Ne doutez jamais qu'un petit groupe de citoyens engagés et réfléchis puisse changer le monde. En réalité c'est toujours ce qui s'est passé.,0651.wav
652,"Tuer les nuances c'est tuer la liberté, l'appétit de créer, l'amour, le bonheur. C'est déchirer la trame étincelante de la vie et la changer en haillon.",0652.wav
653,"La richesse c'est comme le bonheur, ça doit se gagner. Autrement, on regrette qu'elle nous enlève ce qu'on ne lui a pas disputé.",0653.wav
654,Ne rien faire est le bonheur des enfants et le malheur des vieux.,0654.wav
655,"On ne cherche pas le bonheur, on l'attend.",0655.wav
656,"En permettant aux uns de duper les autres, la naïveté est un élément trop capital du bonheur humain, pour qu'on ne lui doive pas de l'indulgence.",0656.wav
657,"L’humain ordinaire, c'est le bonheur du conformisme.",0657.wav
658,"L'ignorance est la condition nécessaire du bonheur des êtres humains et il faut reconnaître que le plus souvent, ils la remplissent bien.",0658.wav
659,L'ignorant ne connaît pas son bonheur puisqu'il ne sait même pas qu'il ignore tout.,0659.wav
660,L'innocence est un grand art et le bonheur un songe.,0660.wav
661,La lucidité est le pire outil qui soit pour construire le bonheur.,0661.wav
662,"La pensée est difficile à contenir, légère, courant où il lui plaît. La dompter est une chose salutaire ; domptée, elle procure le bonheur.",0662.wav
663,"À vouloir balancer trop loin le crapaud, on finit par le jeter dans le bonheur d'une mare.",0663.wav
664,"La faculté de s'aveugler et de se décevoir est la base de tout bonheur, sinon de toute vie.",0664.wav
665,Seul le bonheur est sans mystère car il se justifie par lui-même.,0665.wav
666,Le bonheur c'est aussi souvent de ne plus faire certaines choses qu'on croyait indispensables.,0666.wav
667,Espérance ? Billet à ordre que nous tirons sur le bonheur et qui nous revient protesté à l'échéance.,0667.wav
668,Le bonheur forcé est un cauchemar.,0668.wav
669,"À force de ne jamais réfléchir, on a un bonheur stupide.",0669.wav
670,"Le sens de l'émerveillement est un gage de bonheur car la vie, pour peu qu'on sache lui forcer la main, ne refuse jamais aux gens les occasions de s'émerveiller.",0670.wav
671,On a deux vies et la deuxième commence quand on se rend compte qu’on en a qu’une.,0671.wav
672,"Je ne cherche pas à connaître les réponses, je cherche à comprendre les questions.",0672.wav
673,Rien de grand n’a jamais été accompli sans enthousiasme.,0673.wav
674,Seuls les grands esprits et les sots ne changent jamais.,0674.wav
675,"Écouter et choisir entre les avis, voilà le premier pas de la connaissance.",0675.wav
676,Celui qui pose une question risque de passer pour un sot. Celui qui n’en pose pas est sûr de le rester.,0676.wav
677,La vraie connaissance est de connaître l’étendue de son ignorance.,0677.wav
678,"Plus on apprend, plus on voit que l’on ignore beaucoup de choses.",0678.wav
679,Apprendre sans réfléchir est vain ; réfléchir sans apprendre est dangereux.,0679.wav
680,La conscience est la lumière de l’intelligence pour distinguer le bien du mal.,0680.wav
681,Le sage donne son principal soin à la racine.,0681.wav
682,Quand le sage s’arrête-t-il d’étudier ? Quand on ferme son cercueil.,0682.wav
683,"Lorsque vous travaillez pour les autres, faites-le avec autant d’ardeur que si c’était pour vous-même.",0683.wav
684,Celui qui comprend son devoir et ne le remplit pas est un lâche.,0684.wav
685,Celui qui aime à apprendre est bien près du savoir.,0685.wav
686,La personne honorable commence par appliquer ce qu’elle veut enseigner ; ensuite elle enseigne.,0686.wav
687,"Quand on désire savoir, on interroge. Quand on veut être capable, on étudie. Revoyez sans arrêt ce que vous savez déjà. Étudiez sans cesse du nouveau. Alors vous deviendrez un maître.",0687.wav
688,La personne honnête a de l’autorité mais pas d’arrogance. La personne vulgaire a de l’arrogance mais pas d’autorité.,0688.wav
689,"Un maître qui ne suit pas sa propre discipline, vaut infiniment moins qu’un disciple qui n’écoute pas son maître.",0689.wav
690,"Je ne cherche pas à comprendre pour croire, mais je crois pour comprendre.",0690.wav
691,"Si un supérieur ne peut accorder sa confiance aux gens moins élevés hiérarchiquement, alors le peuple ne peut être bien administré.",0691.wav
692,La personne honorable cultive l’harmonie et non le conformisme. La personne de peu cultive le conformisme plutôt que l’harmonie.,0692.wav
693,Choisis bien tes mots car ce sont eux qui créent le monde qui t’entoure.,0693.wav
694,"Lorsque vous êtes dans le doute, restez immobile et attendez. Quand le doute n’existera plus pour vous, alors allez de l’avant avec courage. Tant que les brumes vous enveloppent, restez immobile ; jusqu’à ce que la lumière du soleil perce la brume et dissipe le brouillard. Et ça sera le cas. Ensuite agissez avec courage.",0694.wav
695,"Les moutons ont des pieds d'or, et partout où ils passent le sol devient de la poussière d'or.",0695.wav
696,Seuls les vrais coupables essaient de justifier leurs crimes par la logique.,0696.wav
697,Un beau mensonge a plus de valeur qu’une mauvaise vérité.,0697.wav
698,L’ignorance est une carapace merveilleusement efficace contre la réalité.,0698.wav
699,Pouvoir sans savoir n’est que ruine du monde.,0699.wav
700,La force de l’ignorance c’est que plus on est ignorant plus on l’ignore.,0700.wav
701,L’aptitude à s’émerveiller de tout était la seule beauté de l’ignorance ; les médias de masse l’en ont privée.,0701.wav
702,Croire savoir est bien pire qu’ignorer.,0702.wav
703,Les progrès de l’humanité se mesurent aux concessions que la folie des sages fait à la sagesse des fous.,0703.wav
704,C'est dans le vide de la pensée que s'inscrit le mal.,0704.wav
705,Une idéologie est précisément ce que son nom indique : elle est la logique d’une idée. L’émancipation de la pensée à l’égard de l’expérience.,0705.wav
706,"L’autorité exclut l’usage de moyens extérieurs de coercition ; là où la force est employée, l’autorité proprement dite a échoué.",0706.wav
707,Ce qui séduit l'élite c'est l'extrémisme en tant que tel.,0707.wav
708,La vérité ne peut être atteinte qu'en rassemblant une grande variété d'erreurs.,0708.wav
709,"L'esprit est certainement un organe des plus mystérieux, un organe dont nous ignorons tout, bien que nous dépendions totalement de lui. Pourquoi ai-je le sentiment qu'il y a des séparations et des oppositions dans l'esprit, comme il y a dans le corps des tendances diverses qui proviennent de causes précises ?",0709.wav
710,La fatalité triomphe dès que l'on croit en elle.,0710.wav
711,Le principal fléau de l’humanité n’est pas l’ignorance mais le refus de savoir.,0711.wav
712,Ça m’agace qu’on fasse du mot « intellectuel » une insulte : les gens ont l’air de croire que le vide de leur cerveau leur meuble les couilles.,0712.wav
713,On devient ce que l’on croit.,0713.wav
714,"Dans la vie, il n’y a rien à craindre et tout à comprendre. Il est temps de comprendre davantage pour avoir moins peur.",0714.wav
715,"Le plus souvent, les gens renoncent à leur pouvoir parce qu’ils pensent qu’ils n’en ont pas.",0715.wav
716,"Sans la curiosité de l'esprit, que serions-nous ? Telle est bien la beauté et la noblesse de la science : désir sans fin de repousser les frontières du savoir, de traquer les secrets de la matière et de la vie sans idée préconçue des conséquences éventuelles.",0716.wav
717,Il y a des sadiques scientifiques qui se dépêchent pour traquer les erreurs au lieu d'établir la vérité.,0717.wav
718,La partie la plus importante du corps est le cerveau.,0718.wav
719,"Être artiste, c'est voir ce que les autres ne peuvent voir.",0719.wav
720,J'aimerais être un chat. Me coucher en rond au soleil et ne plus penser à rien.,0720.wav
721,"Le Castor possède des dents admirables et il sait comment construire. S'il n'utilise pas son savoir-faire, ses dents continueront de pousser au point de devenir un obstacle pour lui. C'est pourquoi le Castor sait faire bon usage de son talent.",0721.wav
722,"L'Aigle nous rappelle combien il est vital de rester visionnaire dans notre travail et de l'effectuer avec cœur. Tout comme lui, lorsque nous volons haut, nous gardons une vue d'ensemble sur tous nos accomplissements. Nous avons alors une meilleure compréhension de la situation, de soi et des autres, grâce à un spectre plus large.",0722.wav
723,"Lorsqu’on s’attaque à un problème en profondeur et en toute sincérité en l’envisageant dans le temps aussi bien que dans l’espace, on se rend rapidement compte qu’il n’y a pas de solution parfaite.",0723.wav
724,"Nous savons que nous ne maitrisons rien, que nous n’expliquerons rien de manière définitive. C’est une infinité qui est tout sauf rassurante. Contrairement à l’infinité religieuse, qui a pour objectif de rassurer l’homme face à sa peur de la finitude, l’infinité de la réflexion nous met face à nos limites et à notre faiblesse.",0724.wav
725,Beaucoup de religions louent la valeur de l’humilité mais imaginent qu’il n’y a rien de plus important qu’elles dans l’univers. Les gens de toute confession feraient bien de prendre plus au sérieux l’humilité.,0725.wav
726,"Dès lors que des identités personnelles et des systèmes sociaux entiers sont construits sur un récit, il devient impensable d’en douter – non du fait des preuves qui l’étaieraient mais parce que son effondrement déclencherait un cataclysme personnel et social. Dans l’histoire, la toiture a parfois plus d’importance que les fondations.",0726.wav
727,L’éducation n’est-elle pas vouée à développer des personnalités autonomes ?,0727.wav
728,Chaque humain est responsable de sa religion.,0728.wav
729,"On confond facilement l'amour de la vérité et l'amour de sa propre vérité, c'est-à-dire l'amour-propre, réducteur de vérité.",0729.wav
730,"Ce que l’être humain appelle vérité, c'est toujours sa vérité, c'est-à-dire l'aspect sous lequel les choses lui apparaissent.",0730.wav
731,"Ce qu’il faudrait, c’est toujours concéder à son prochain qu’il a une parcelle de vérité et non pas de dire que toute la vérité est à moi, à mon pays, à ma race, à ma religion.",0731.wav
732,Même le singe tombe de l’arbre.,0732.wav
733,Même la pensée d’une fourmi peut toucher le ciel.,0733.wav
734,"On apprend peu par la victoire, mais beaucoup par la défaite.",0734.wav
735,"Tous admirent le paon. Alors les oiseaux disent : « Mais regardez ses pattes, et écoutez sa voix ! »",0735.wav
736,Les bonnes doctrines peuvent se passer de miracles.,0736.wav
737,Le soleil n'ignore pas un village parce qu'il est petit.,0737.wav
738,"Si l'arbre savait ce que la hache lui réservait, il ne lui aurait jamais fourni le manche.",0738.wav
739,C'est de la confiance que naît la trahison.,0739.wav
740,Il faut se laver les yeux avant chaque regard.,0740.wav
741,Mieux vaut marcher sans savoir où aller que de rester assis sans rien faire.,0741.wav
742,"De temps en temps, il nous faut faire une pause pour permettre à notre âme de nous rejoindre.",0742.wav
743,On commence à vieillir quand on a fini d'apprendre.,0743.wav
744,N'ouvrez pas la porte que vous serez incapable de refermer.,0744.wav
745,On reconnaît un homme habile à ses réponses ; mais on reconnaît un homme sage à ses questions.,0745.wav
746,"Si le problème a une solution, il ne sert à rien de s'inquiéter, mais s'il n'en a pas, alors s'inquiéter ne change rien.",0746.wav
747,"Si tu ne sais pas où tu vas, tu risques de mettre longtemps à y arriver.",0747.wav
748,Quiconque taquine un nid de guêpes doit savoir courir.,0748.wav
749,"Si tu vois une chèvre dans le repaire d'un lion, aie peur d'elle.",0749.wav
750,"Le lion, en chasse pour tuer, ne rugit pas.",0750.wav
751,L'œuf ne danse pas avec la pierre.,0751.wav
752,"À être impatient, on reçoit du sable dans l'œil.",0752.wav
753,"Si tu ignores le courage de la brochette sur le feu, remplace-la un moment.",0753.wav
754,Toutes les fleurs de l'arbre ne fructifient pas. Tout ne peut être parfait.,0754.wav
755,"Si tu parles à quelqu'un qui ne t'écoute pas, tais-toi. Écoute-le. En l'écoutant, tu sauras pourquoi il ne t'écoutait pas.",0755.wav
756,"La parole est un œuf ; si elle échappe, on ne peut pas la reprendre.",0756.wav
757,"Bouche de miel, cœur de fiel.",0757.wav
758,"Les marques du fouet disparaissent, la trace des injures, jamais.",0758.wav
759,"Le sage enseigne par ses actes, non par ses paroles.",0759.wav
760,Celui qui a inventé le bateau a aussi inventé le naufrage.,0760.wav
761,"La douceur l’emporte sur la dureté, et la faiblesse sur la force.",0761.wav
762,La bonté n’est pas éloquence. L’éloquence n’est pas bonté.,0762.wav
763,Sois avare de tes paroles et les choses s’arrangeront d’elles-mêmes.,0763.wav
764,Arrêtez le mal avant qu’il n’existe ; calmez le désordre avant qu’il n’éclate.,0764.wav
765,Les règles du sage pour gouverner sont d’ouvrir les cœurs et d’emplir les ventres.,0765.wav
766,Un ennemi que tu vaincs reste ton ennemi. Un ennemi que tu convaincs devient ton ami.,0766.wav
767,Il faut éliminer les problèmes dès le début de leur apparition tant qu’ils sont encore simples.,0767.wav
768,Soyez honnête avec ceux qui sont honnêtes et avec ceux qui ne le sont pas. Alors l‘honnêteté sera atteinte.,0768.wav
769,Tu es le maître des paroles que tu n’as pas prononcées. Mais tu es l’esclave de celles que tu as laissées échapper.,0769.wav
770,"Quand on a réglé un grand différend, il reste toujours quelques griefs, et la paix ne peut être rétablie que par la bonté.",0770.wav
771,"Les plus grands conquérants gagnent sans lutter. Les dirigeants les plus efficaces, conduisent les autres sans ordonner.",0771.wav
